Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,05/31/2025 12:11,Los Angeles,CA,USA,Changing,Observed a shape shifting uap over golf course,06/02/2025,Y
Open,05/29/2025 20:03,Concord,CA,USA,Oval,Strange metallic object spotted in the sky,05/30/2025,Y
Open,05/28/2025 14:15,Hesperia,CA,USA,Circle,Looked like a red circle and would go flat and was spinning the whole time. Moved at a slow rate,05/31/2025,Y
Open,05/27/2025 21:35,Murrieta,CA,USA,Cigar,Cigar shaped object moving at high speed across sky then disappeared,05/29/2025,Y
Open,05/26/2025 20:35,Windsor,CA,USA,Other,"Two dark objects linked by a cable or rope, each about 2-3x size of large trash can, moving North about 30kts, near STS airport",05/26/2025,Y
Open .,05/26/2025 02:13,Solana Beach,CA,USA,Circle,"For nearly 45 seconds, the object remained perfectly still, hovering soundlessly over the surf.",05/26/2025,
Open,05/25/2025 22:40,Mariposa,CA,USA,Triangle,"Triangle craft, no noise, variable speeds, clear skies.",07/07/2025,
Open,05/24/2025 20:00,Corralitos,CA,USA,Rectangle,It was so shiney it was hard to make out exact details.. aprox. 50-75 yards away. aprox.40 mph. totally silent..8-10 ft.long. 3-4 ft.ht,05/30/2025,
Open,05/24/2025 14:00,Camarillo,CA,USA,Sphere,Shiny spherical object fly at high speeds aprox. 500 to 1000 feet. heading southwest towards point mugu area.,05/27/2025,
Open,05/22/2025 22:54,Laytonville,CA,USA,Triangle,A large saucer with three lights in a triangle. Very bright then disappeared as I was watching it.,05/23/2025,
Open,05/21/2025 01:30,La Habra Heights,CA,USA,Circle,Bright pink circular object,05/21/2025,
Open,05/20/2025 23:30,,CA,USA,Orb,Appeared in a flash paused and began a desending north to 200ft or less maybe over water,05/21/2025,
Open,05/20/2025 19:00,Yucca Valley,CA,USA,Sphere,"Object was transparent round disk shaped, several modules reflecting sunlight inside, motionless above 30,000 ft",05/23/2025,Y
Open .,05/19/2025 20:50,Hawthorne,CA,USA,Chevron,A craft flashing white and red lights flew over my backyard. It emitted what appeared to be red flares opposite its flying direction.,05/19/2025,
